Year,Month,Origin,Destination,Trips,Base Fare,Revenue,CommuteTime_Mins,OD_Distance_km
2022,January,NOR,NOR,151,0,0,0,0
2022,January,QUE,NOR,8888,13,115544,3,1.23
2022,January,GMA,NOR,12288,13,159744,5,2.21
2022,January,CUB,NOR,70371,16,1125936,9,4.14
2022,January,SAN,NOR,8947,16,143152,12,5.54
2022,January,ORT,NOR,36635,20,732700,16,7.88
2022,January,SHA,NOR,73102,20,1462040,17,8.7
2022,January,BON,NOR,32208,20,644160,19,9.71
2022,January,GUA,NOR,30459,24,731016,20,10.43
2022,January,BUE,NOR,11083,24,265992,24,12.33
2022,January,AYA,NOR,34751,24,834024,27,13.56
2022,January,MAG,NOR,14585,28,408380,30,14.8
2022,January,TAF,NOR,40210,28,1125880,34,16.74
2022,February,NOR,NOR,206,0,0,0,0
2022,February,QUE,NOR,10647,13,138411,3,1.23
2022,February,GMA,NOR,13813,13,179569,5,2.21
2022,February,CUB,NOR,77526,16,1240416,9,4.14
2022,February,SAN,NOR,10632,16,170112,12,5.54
2022,February,ORT,NOR,43227,20,864540,16,7.88
2022,February,SHA,NOR,83729,20,1674580,17,8.7
2022,February,BON,NOR,35618,20,712360,19,9.71
2022,February,GUA,NOR,36053,24,865272,20,10.43
2022,February,BUE,NOR,14488,24,347712,24,12.33
2022,February,AYA,NOR,43549,24,1045176,27,13.56
2022,February,MAG,NOR,17008,28,476224,30,14.8
2022,February,TAF,NOR,47580,28,1332240,34,16.74
2022,March,NOR,NOR,289,0,0,0,0
2022,March,QUE,NOR,7554,13,98202,3,1.23
2022,March,GMA,NOR,10098,13,131274,5,2.21
2022,March,CUB,NOR,56095,16,897520,9,4.14
2022,March,SAN,NOR,9860,16,157760,12,5.54
2022,March,ORT,NOR,42146,20,842920,16,7.88
2022,March,SHA,NOR,69174,20,1383480,17,8.7
2022,March,BON,NOR,30782,20,615640,19,9.71
2022,March,GUA,NOR,26164,24,627936,20,10.43
2022,March,BUE,NOR,16176,24,388224,24,12.33
2022,March,AYA,NOR,44003,24,1056072,27,13.56
2022,March,MAG,NOR,15584,28,436352,30,14.8
2022,March,TAF,NOR,27073,28,758044,34,16.74
2022,April,NOR,NOR,911,0,0,0,0
2022,April,QUE,NOR,19031,13,247403,3,1.23
2022,April,GMA,NOR,22351,13,290563,5,2.21
2022,April,CUB,NOR,123975,16,1983600,9,4.14
2022,April,SAN,NOR,15445,16,247120,12,5.54
2022,April,ORT,NOR,69873,20,1397460,16,7.88
